config,p_depth,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
slow_low_noise,0.1,500,0,0.7373933628627234,0.0016113281249999778,0.00041409389221147666,1.7376568355338956e-05,3.9338625898896746e-06,4062055.0714285714
slow_low_noise,0.1,1000,0,0.7391293770926339,0.007049560546875,0.002062691967490279,1.6115681636798706e-05,7.836708736118834e-06,3944351.1047619046
slow_low_noise,0.1,2000,0,0.7310362897600446,0.004833984375000044,0.0013077361352242423,2.1305157315161305e-05,5.143822553642073e-06,1241800.3047619048
slow_low_noise,0.1,5000,0,0.7361426653180804,0.004632568359374978,0.001237441176737811,1.8260187455837184e-05,4.420789342748924e-06,3699669.0142857144
best_rejection,0.1,25,0,0.7390016783871166,0.006646728515624978,0.00120507223703212,1.6112537916337562e-05,5.916625759907086e-06,248939.46892950393
slow_low_noise,0.1,50,0,0.7389025160845589,0.007452392578125022,0.001732851043239137,1.618906558076189e-05,6.197275650839631e-06,3950709.3
slow_low_noise,0.05,25,0,0.7386693041524761,0.002618408203124978,0.00043954846864336766,1.6393938807880418e-05,2.5680835333880007e-06,4100409.005891016
slow_low_noise,0.25,500,0,0.7364073835100446,0.0016113281249999778,0.00040265958040095053,1.8057048428659232e-05,8.526033768970651e-06,3993038.6095238095
slow_low_noise,0.25,100,0,0.7406505475725448,0.006646728515624978,0.001841318278624007,1.496828938360825e-05,1.1284618127793471e-05,3952585.5761904763
slow_low_noise,0.25,200,0,0.7423079136439733,0.008056640625,0.0019624923924119273,1.3857577252862716e-05,1.1430947284336044e-05,3658764.380952381
best_rejection,0.25,25,0,0.7390375791704065,0.008660888671874978,0.002025244275120271,1.5926286516800028e-05,1.006998157144431e-05,243792.21618798954
slow_low_noise,0.25,1000,0,0.7387898472377233,0.007855224609375044,0.0021350108428078852,1.631957143171925e-05,1.1969944229455126e-05,4023672.6380952382
slow_low_noise,0.25,2000,0,0.7353485107421875,0.00201416015625,0.0006337661000079874,1.875220599479111e-05,8.419402439574085e-06,3746633.780952381
slow_low_noise,0.25,50,0,0.7399818689682905,0.008258056640624956,0.002479378983111164,1.5292195774673493e-05,1.2495973487481456e-05,3852054.1382352943
slow_low_noise,0.25,5000,0,0.7347154889787948,0.0038269042968750444,0.0010203135353636541,1.9183973168840857e-05,6.074868961668954e-06,3476163.338095238
slow_low_noise,0.1,25,0,0.7385773469141201,0.005035400390625,0.0008722358877989693,1.6427648154118478e-05,5.346693598630522e-06,4062270.083946981
slow_low_noise,0.25,25,0,0.7393557204413659,0.011480712890625022,0.0021896767952225404,1.5709536275644675e-05,9.78954376926108e-06,3912015.6053019147
