_kstep,_drift_rate,drift_total_K,in_lock_frac,in_lock_frac_last20,v_dev_rms_mV,v_dev_rms_mV_last20,v_dev_abs_max_mV,drop_loss_rms_pct,drop_loss_rms_pct_last20,drop_loss_abs_max_pct,energy_loss_pct,v_heater_drift_mV,frozen_v_dev_abs_max_mV,frozen_drop_loss_rms_pct,frozen_drop_loss_abs_max_pct,window_time_us,ss_acq_v_dev_mV,ss_acq_drop_ref_A,_wall_s
5,2000.0,80.4,0.0,0.0,79.78472371538827,116.94882759577726,134.75708007812747,96.81775005959753,125.36712133913923,269.3337666727288,47.61775045955883,111.98730468749996,23.575439453127455,88.17611752822259,94.91106999685093,134.0,22.78767903646083,5.342304787780922e-06,216.54287746548653
5,3000.0,120.60000000000001,0.0,0.0,109.5437477385312,167.74156009137158,189.5422363281275,94.57703776603971,93.82588678057739,268.95671771498246,57.44987362132353,166.77246093749997,23.575439453127455,93.83379750774665,269.5240596951634,134.0,22.78767903646083,5.342304788037287e-06,250.0510014872998
5,5000.0,201.0,0.0,0.0,84.61998181593815,122.53695653675287,137.1740722656275,94.41692072179242,96.615532863177,267.8143743520271,44.81184512867647,113.59863281249993,23.575439453127455,95.27530887721164,267.48776204030185,134.0,22.78767903646083,5.34230478835935e-06,274.94952609203756
6,100.0,4.0200000000000005,0.0,0.0,279.2933677810618,375.2237517894114,386.12426757812744,693.4619202033086,1547.1672890616474,2339.5061038438566,-11464.913441051136,291.6503906249999,91.25122070312753,14.119784651093067,22.962144150782546,134.0,91.2512207031275,7.073259587720859e-07,115.04834694042802
6,250.0,10.05,0.0,0.0,116.1679471409505,194.2123668946007,236.27075195312753,33.018841366143064,59.4386062543212,61.56434799266207,61.30415482954545,143.40820312500003,91.25122070312753,28.057240479193403,42.57943110304818,134.0,91.2512207031275,7.073259560029343e-07,111.55170734040439
6,500.0,20.1,0.0,0.0,251.0825402968807,322.63202317889744,337.78442382812744,643.5942230153037,1435.9173840358126,2369.8333320602856,-9793.048650568182,240.08789062500003,91.25122070312753,41.42567721614674,57.32368418178122,134.0,91.2512207031275,7.073259402792049e-07,126.65524888597429
6,750.0,30.150000000000002,0.0,0.0,221.79833345716622,274.72469117389807,300.7238769531274,428.4742423936159,954.844041189856,2383.8426146380316,-4222.619406960227,204.63867187500006,91.25122070312753,48.46918610900035,61.5365119455028,134.0,91.2512207031275,7.073259591295333e-07,134.87262491881847
6,1000.0,40.2,0.0,0.0,147.5628553127331,167.511802696094,215.32348632812747,39.674507445900524,35.89305814770908,61.563232937827415,74.26402698863637,62.84179687500002,91.25122070312753,51.80672832101508,61.564371736631756,134.0,91.2512207031275,7.073259094158962e-07,141.12055674009025
6,1500.0,60.300000000000004,0.0,0.0,188.79142036836456,204.52186277702944,241.10473632812744,1059.572415009915,2074.554507888315,2291.21926793642,-27615.855823863636,88.623046875,91.25122070312753,49.452341098124826,61.56419107045656,134.0,91.2512207031275,7.073259435648881e-07,171.74218923971057
6,2000.0,80.4,0.0,0.0,151.61188394392653,130.26569244490335,200.82153320312744,1186.061000235728,2166.593634123143,2422.95354154893,-31616.852805397728,4.833984375000044,91.25122070312753,274.05361421358117,1779.6874358997143,134.0,91.2512207031275,7.073259435648881e-07,190.61598886363208
6,3000.0,120.60000000000001,0.0,0.0,230.17745186511652,326.3605571760506,345.84106445312744,648.6965176623181,73.95551234001668,2690.2749802721482,-5903.303888494318,252.97851562499994,91.25122070312753,593.1216337180623,2691.003708321729,134.0,91.2512207031275,7.073259038399956e-07,220.81002906151116
6,5000.0,201.0,0.0,0.0,201.4104751524042,294.8422150832226,323.28247070312756,627.8004364956402,64.59267599960553,2662.974479418159,-6339.952503551136,230.41992187500006,91.25122070312753,611.8617274305559,2685.21576495731,134.0,91.2512207031275,7.073259284310455e-07,232.0051284674555
