knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
kstep,4,50,0,0.738689923030074,0.003625488281250089,0.000625425466941361,1.634607318617321e-05,5.344885530882593e-06,255385.23297491038
kstep,6,100,0,0.7387226696515141,0.004833984375000044,0.001280584743057556,1.6330999990614143e-05,6.428712835060702e-06,251529.75178997614
settling_us,5,2000,0,0.7364016287667412,0.002416992187500022,0.0004878924709930943,1.8101193257016555e-05,4.548867459421539e-06,242188.2
settling_us,5,5000,0,0.737598615373884,0.0028198242187499334,0.0005650932952010678,1.721759059895926e-05,4.426754256862527e-06,261893.94761904763
settling_us,5,200,0,0.7403091621664204,0.005841064453124933,0.001314520064557603,1.512658472241289e-05,1.9511471339933846e-06,241425.13351877607
settling_us,25,500,0,0.7377213832310269,0.001007080078125,0.0002063543389894349,1.707672597341115e-05,3.43237184717767e-06,254812.50476190477
settling_us,25,200,0,0.7381195004111842,0.0016113281250000888,0.0003392147824957786,1.675444667902859e-05,3.70419406191825e-06,254837.44421052633
kstep,5,50,0,0.738742382637489,0.0040283203125,0.0007289725033068267,1.6308907705281023e-05,5.741488420661916e-06,254733.14934289127
settling_us,25,1000,0,0.736618390764509,0.0016113281249999778,0.0003272412064292817,1.7920034087856067e-05,3.856340862431551e-06,244439.4380952381
kstep,3,25,0,0.7387624901351427,0.003424072265625022,0.000637699498147118,1.6289888943789052e-05,5.2008147165157015e-06,255291.4219964136
settling_us,5,100,0,0.7386097822408337,0.008258056640624956,0.0022299880775714953,1.6337693512900244e-05,4.825210498447681e-06,237672.89561586638
kstep,6,50,0,0.7389666594912075,0.004833984375000044,0.0012417835607764413,1.6143724990862657e-05,6.429125178234175e-06,251680.78614097968
settling_us,25,2000,0,0.736564679827009,0.0012084960937499556,0.00026378696839043865,1.7968185972035106e-05,3.7039087909632375e-06,244762.04285714286
settling_us,25,5000,0,0.7414773123604911,0.007855224609375044,0.002321370094278051,1.4436662760066561e-05,7.503739058005584e-06,236404.20476190475
settling_us,25,100,0,0.7387074231599507,0.002416992187500022,0.0005009096947015126,1.632504095335785e-05,4.599784044974794e-06,255284.71789473685
settling_us,100,200,0,0.739852556501116,0.006445312500000022,0.001708072539209527,1.549123107696604e-05,5.771460574254482e-06,245071.51904761905
settling_us,100,500,0,0.7375238037109376,0.005841064453124933,0.0018107590882399443,1.7256050237113564e-05,7.0925239187898565e-06,243807.6
settling_us,100,1000,0,0.7458183070591519,0.007855224609375044,0.0019526238265565553,1.1616383823570466e-05,7.116965070113277e-06,172181.7857142857
settling_us,100,2000,0,0.7318937465122769,0.009265136718750067,0.002672698304685112,2.0709346627425535e-05,8.43539223893294e-06,108568.0142857143
