target_mode,knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes,drift_V
iadc_value,adc_dead_zone,3,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.31353656498663,369.0,0.0,-8.200613807277057e-05
iadc_value,adc_dead_zone,2,50,0,0.7329545721950302,0.004229736328124956,0.0014145005513198302,9.171251758027752,39.0,0.0,-7.909675851934285e-05
iadc_value,adc_dead_zone,3,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.81643208551148,387.0,0.0,-2.373861891569515e-05
iadc_value,adc_dead_zone,3,100,0,0.7329482583038304,0.004229736328124956,0.0014145895438528158,8.61728898515805,40.0,0.0,-7.923350614663513e-05
iadc_value,adc_dead_zone,3,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.39859048089843,394.0,0.0,-4.316112530072334e-06
iadc_value,ctrl_dec,125,2000,0,0.73289794921875,0.0040283203125,0.0011657794732424277,71.64916997895698,216.0,0.0,-0.0004229790279530152
iadc_value,ctrl_dec,125,1000,0,0.7329401164915089,0.004229736328124956,0.0014144330594123293,8.27676079886212,39.0,0.0,-6.0197012764682154e-05
iadc_value,adc_dead_zone,3,50,0,0.7329476516090404,0.004229736328124956,0.001414498295530133,7.398140362159306,35.0,0.0,-8.196177749314328e-05
iadc_value,ctrl_dec,125,500,0,0.7329498188950146,0.004229736328124956,0.0014140522639674658,7.409546506215597,33.0,0.0,-7.350635194812018e-05
iadc_value,ctrl_dec,125,5000,0,0.7330921718052456,0.0016113281249999778,0.0004723076507994951,151.6228329420993,417.0,0.0,-1.0790281321893544e-06
iadc_value,adc_dead_zone,1,25,0,0.7329548545246597,0.004229736328124956,0.0014159522525731569,9.687537228082308,40.0,0.0,-8.100191204968022e-05
iadc_value,ctrl_dec,125,200,0,0.7329518758628264,0.004229736328124956,0.0014137610535138883,6.27835077105988,31.0,0.0,-7.941632388116071e-05
iadc_value,adc_dead_zone,3,25,0,0.7329487414744198,0.004229736328124956,0.0014157115648364676,7.1918263234122195,32.0,0.0,-8.222838208678802e-05
iadc_value,ctrl_dec,500,500,0,0.73289794921875,0.0040283203125,0.0011657794732424277,65.86650992805099,203.0,0.0,-0.0004229790279530152
